location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,1.2648894686520693,1.739374790791275,2.315519941341432,4222.83,5806.897938382249,7730.356933333333,1.26,1.74,2.32,4223,5807,7730,wk inc covid hosp,2026-01-31,2026-01-31,2026-01-28,"January 31, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
US,1,1.0403231305352223,1.6869887292962589,2.6392114075852886,3473.1159,5632.007216666667,8811,1.04,1.69,2.64,3473,5632,8811,wk inc covid hosp,2026-02-07,2026-01-31,2026-01-28,"February 07, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
US,2,0.8470030105217548,1.477615156051521,2.714152972315523,2827.7172128985694,4933.014120260172,9061.19220701317,0.85,1.48,2.71,2828,4933,9061,wk inc covid hosp,2026-02-14,2026-01-31,2026-01-28,"February 14, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alabama,0,0.05558431771525175,0.6150207229235328,2.1988408985878505,2.8333333333333335,31.349826472222222,112.08285841666664,0.06,0.62,2.2,3,31,112,wk inc covid hosp,2026-01-31,2026-01-31,2026-01-28,"January 31, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alabama,1,0.07193264645503167,0.7183528082254503,2.732120071542903,3.6666666666666665,36.61703588888889,139.26602300000002,0.07,0.72,2.73,4,37,139,wk inc covid hosp,2026-02-07,2026-01-31,2026-01-28,"February 07, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alabama,2,0.01961799448773591,0.7520231220298765,2.8925642983583946,1,38.333333333333336,147.44444444444446,0.02,0.75,2.89,1,38,147,wk inc covid hosp,2026-02-14,2026-01-31,2026-01-28,"February 14, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alaska,0,0.17173012953603672,0.5742708913169486,1.4831838713933518,1.2222222222222223,4.087149103300768,10.555982762932338,0.17,0.57,1.48,1,4,11,wk inc covid hosp,2026-01-31,2026-01-31,2026-01-28,"January 31, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alaska,1,0.14050646962039368,0.7389017802491692,1.6945080236219479,1,5.258845249229164,12.06,0.14,0.74,1.69,1,5,12,wk inc covid hosp,2026-02-07,2026-01-31,2026-01-28,"February 07, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Alaska,2,0.1131006192953609,0.8109503298218901,1.9230919105221846,0.8049495485932061,5.771622701878671,13.686856667296546,0.11,0.81,1.92,1,6,14,wk inc covid hosp,2026-02-14,2026-01-31,2026-01-28,"February 14, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arizona,0,0.41846370858985776,0.748992220383284,1.2658389867916475,31.02509184815801,55.53062775563805,93.84988476666668,0.42,0.75,1.27,31,56,94,wk inc covid hosp,2026-01-31,2026-01-31,2026-01-28,"January 31, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arizona,1,0.36128207119975225,0.7623014242961442,1.5722184620920883,26.785618948502385,56.51737825597131,116.565,0.36,0.76,1.57,27,57,117,wk inc covid hosp,2026-02-07,2026-01-31,2026-01-28,"February 07, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arizona,2,0.3319150344269962,0.7849964783061772,1.744426003639965,24.608333333333334,58.2,129.3325463458287,0.33,0.78,1.74,25,58,129,wk inc covid hosp,2026-02-14,2026-01-31,2026-01-28,"February 14, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arkansas,0,0.5548346331694504,1.0117572722501742,1.8700447501329427,17,31,57.297722333333326,0.55,1.01,1.87,17,31,57,wk inc covid hosp,2026-01-31,2026-01-31,2026-01-28,"January 31, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arkansas,1,0.4257958939626159,0.9791199408872654,1.963969033482421,13.046284,30,60.17553983333334,0.43,0.98,1.96,13,30,60,wk inc covid hosp,2026-02-07,2026-01-31,2026-01-28,"February 07, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
Arkansas,2,0.4260984927935321,0.9871573569766865,2.1059177700212324,13.055555555555555,30.2462645,64.52481505318575,0.43,0.99,2.11,13,30,65,wk inc covid hosp,2026-02-14,2026-01-31,2026-01-28,"February 14, 2026","January 28, 2026","January 31, 2026",CovidHub-ensemble
