location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
US,US,0,2025-09-20,2025-09-20,CEPH-Rtrend_covid,8728,10202,11129,12133,14102,8728,10202,11129,12133,14102,CEPH Lab at Indiana University,2025-09-17,Rtrend COVID
US,US,1,2025-09-20,2025-09-27,CEPH-Rtrend_covid,7711,10172,11872,13820,17976,7711,10172,11872,13820,17976,CEPH Lab at Indiana University,2025-09-17,Rtrend COVID
US,US,2,2025-09-20,2025-10-04,CEPH-Rtrend_covid,6766,9965,12347,15213,21679,6766,9965,12347,15213,21679,CEPH Lab at Indiana University,2025-09-17,Rtrend COVID
US,US,0,2025-09-20,2025-09-20,CFA-EpiAutoGP,8577.7449,10489.008,11616.27,12811.068,15648.868,8578,10489,11616,12811,15649,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-17,EpiAutoGP
US,US,1,2025-09-20,2025-09-27,CFA-EpiAutoGP,7673.2454,10397.108,11987.703,13805.521,18181.423,7673,10397,11988,13806,18181,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-17,EpiAutoGP
US,US,2,2025-09-20,2025-10-04,CFA-EpiAutoGP,6860.4515,10070.334,12188.722,14770.489,21113.862,6860,10070,12189,14770,21114,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-09-17,EpiAutoGP
US,US,0,2025-09-20,2025-09-20,CFA_Pyrenew-Pyrenew_HE_COVID,9822.875,11097.75,11873,12767.25,14491.4,9823,11098,11873,12767,14491,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-17,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,1,2025-09-20,2025-09-27,CFA_Pyrenew-Pyrenew_HE_COVID,8892.55,10391,11131,11956.5,14227.649999999998,8893,10391,11131,11956,14228,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-17,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,0,2025-09-20,2025-09-20,CFA_Pyrenew-Pyrenew_H_COVID,7559,8359,8792.5,9290.75,10153.174999999997,7559,8359,8792,9291,10153,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-17,Pyrenew_Hospital_Admissions_COVID
US,US,1,2025-09-20,2025-09-27,CFA_Pyrenew-Pyrenew_H_COVID,5928.85,7230.25,7995.5,8879.75,10791.025000000001,5929,7230,7996,8880,10791,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-09-17,Pyrenew_Hospital_Admissions_COVID
US,US,0,2025-09-20,2025-09-20,CMU-TimeSeries,5036.134936504467,8428.7210142075,9471.22573501529,10968.843433071783,14883.268275072933,5036,8429,9471,10969,14883,Carnegie Mellon Delphi Group,2025-09-17,AR ensemble with auxiliary data
US,US,1,2025-09-20,2025-09-27,CMU-TimeSeries,4969.750746915344,8020.231961437839,9858.671921578885,11749.885073322079,18100.449676157343,4970,8020,9859,11750,18100,Carnegie Mellon Delphi Group,2025-09-17,AR ensemble with auxiliary data
US,US,2,2025-09-20,2025-10-04,CMU-TimeSeries,5230.1309525170245,8598.544904283443,10413.78352835307,13325.921763874383,21459.79967202778,5230,8599,10414,13326,21460,Carnegie Mellon Delphi Group,2025-09-17,AR ensemble with auxiliary data
US,US,0,2025-09-20,2025-09-20,CMU-climate_baseline,985.5,3824.666666666667,9247.000000000002,12324.500000000002,19245.666666666675,986,3825,9247,12325,19246,Carnegie Mellon Delphi Group,2025-09-17,climatological baseline
US,US,1,2025-09-20,2025-09-27,CMU-climate_baseline,985.5,3605.1666666666665,8822.5,12210.333333333334,17752.000000000007,986,3605,8822,12210,17752,Carnegie Mellon Delphi Group,2025-09-17,climatological baseline
US,US,2,2025-09-20,2025-10-04,CMU-climate_baseline,985.5,3345,8437.000000000002,12205.500000000002,16160.983333333334,986,3345,8437,12206,16161,Carnegie Mellon Delphi Group,2025-09-17,climatological baseline
US,US,0,2025-09-20,2025-09-20,CovidHub-baseline,6593.175000000001,8924,9500,10076,12406.824999999975,6593,8924,9500,10076,12407,CovidHub-hub-models,2025-09-17,CovidHub baseline model
US,US,1,2025-09-20,2025-09-27,CovidHub-baseline,6008.135703357032,8661.158236582367,9500,10342.952284522846,12995.226383013825,6008,8661,9500,10343,12995,CovidHub-hub-models,2025-09-17,CovidHub baseline model
