location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
US,US,0,2025-11-29,2025-11-29,CEPH-Rtrend_covid,2366,2985,3392,3843,4777,2366,2985,3392,3843,4777,CEPH Lab at Indiana University,2025-11-26,Rtrend COVID
US,US,1,2025-11-29,2025-12-06,CEPH-Rtrend_covid,1817,2754,3460,4311,6326,1817,2754,3460,4311,6326,CEPH Lab at Indiana University,2025-11-26,Rtrend COVID
US,US,2,2025-11-29,2025-12-13,CEPH-Rtrend_covid,1383,2497,3445,4689,7964,1383,2497,3445,4689,7964,CEPH Lab at Indiana University,2025-11-26,Rtrend COVID
US,US,0,2025-11-29,2025-11-29,CFA-EpiAutoGP,3316.3379,3745.6038,3972.8281,4223.625,4761.1583,3316,3746,3973,4224,4761,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-11-26,EpiAutoGP
US,US,1,2025-11-29,2025-12-06,CFA-EpiAutoGP,3529.9094,4339.2319,4753.0343,5216.709,6198.8181,3530,4339,4753,5217,6199,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-11-26,EpiAutoGP
US,US,2,2025-11-29,2025-12-13,CFA-EpiAutoGP,3890.3031,5110.2446,5844.5067,6646.9235,8611.8713,3890,5110,5845,6647,8612,Center for Forecasting and Outbreak Analytics (CFA/CDC),2025-11-26,EpiAutoGP
US,US,0,2025-11-29,2025-11-29,CFA_Pyrenew-Pyrenew_HE_COVID,2212,2643,2879,3141,3724,2212,2643,2879,3141,3724,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-11-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,1,2025-11-29,2025-12-06,CFA_Pyrenew-Pyrenew_HE_COVID,2055.9249999999997,2594.75,2922,3294.75,4287.074999999999,2056,2595,2922,3295,4287,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-11-26,Pyrenew_Hospital_Admissions_ED_Visits_COVID
US,US,0,2025-11-29,2025-11-29,CFA_Pyrenew-Pyrenew_H_COVID,2605.95,2902,3044,3211.5,3577.025,2606,2902,3044,3212,3577,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-11-26,Pyrenew_Hospital_Admissions_COVID
US,US,1,2025-11-29,2025-12-06,CFA_Pyrenew-Pyrenew_H_COVID,2094.85,2614.75,2935,3266.25,4148.6749999999965,2095,2615,2935,3266,4149,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-11-26,Pyrenew_Hospital_Admissions_COVID
US,US,0,2025-11-29,2025-11-29,CMU-TimeSeries,1583.9708187618642,2706.8772830462703,3191.476141581856,3909.639667032927,7186.920203589534,1584,2707,3191,3910,7187,Carnegie Mellon Delphi Group,2025-11-26,AR ensemble with auxiliary data
US,US,1,2025-11-29,2025-12-06,CMU-TimeSeries,1411.6954803731799,2701.923685183836,3308.7933027913123,4379.8672571295665,10485.922255334013,1412,2702,3309,4380,10486,Carnegie Mellon Delphi Group,2025-11-26,AR ensemble with auxiliary data
