location_name,abbreviation,horizon,target,target_data_type,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CEPH-Rtrend_covid,6873,8818,10094,11517,14483,6900,8800,10100,11500,14500,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CEPH-Rtrend_covid,4494,6950,8788,11016,16217,4500,7000,8800,11000,16200,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CEPH-Rtrend_covid,2882,5305,7327,9965,16559,2900,5300,7300,10000,16600,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CFA_Pyrenew-Pyrenew_H_COVID,6037.275,7959.75,9229,10595.25,14596.199999999972,6000,8000,9200,10600,14600,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-02-19,Pyrenew_Hospital_Admissions_COVID
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CFA_Pyrenew-Pyrenew_H_COVID,3319.975,5866,7901,10532,19947.32499999999,3300,5900,7900,10500,19900,Center for Forecasting and Outbreak Analytics (CFA/CDC) Pyrenew team,2025-02-19,Pyrenew_Hospital_Admissions_COVID
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CMU-TimeSeries,5836.377983207995,8873.315894109315,10165.33952014378,11881.820206822373,19347.465897034712,5800,8900,10200,11900,19300,Carnegie Mellon Delphi Group,2025-02-19,AR ensemble with auxiliary data
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CMU-TimeSeries,4627.119143173066,8165.253261642552,10179.395051273345,12927.388870049284,25681.937081649947,4600,8200,10200,12900,25700,Carnegie Mellon Delphi Group,2025-02-19,AR ensemble with auxiliary data
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CMU-TimeSeries,3801.28634596048,7731.145885107364,10356.796582815865,14096.351181434587,33302.80596659765,3800,7700,10400,14100,33300,Carnegie Mellon Delphi Group,2025-02-19,AR ensemble with auxiliary data
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CMU-climate_baseline,7679.950516593021,12859.198680101708,19120.18974933071,23416.918439099034,31569.862937850812,7700,12900,19100,23400,31600,Carnegie Mellon Delphi Group,2025-02-19,climatological baseline
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CMU-climate_baseline,7534.899568050998,12229.535368786335,17625.21123167035,22420.748694027192,30894.596556795263,7500,12200,17600,22400,30900,Carnegie Mellon Delphi Group,2025-02-19,climatological baseline
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CMU-climate_baseline,6729.534061351117,11552.579681757034,16139.674732836518,20949.584597057237,29566.91694914005,6700,11600,16100,20900,29600,Carnegie Mellon Delphi Group,2025-02-19,climatological baseline
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CovidHub-baseline,6768.425000000001,9482.75,10503,11523.249999999998,14237.574999999997,6800,9500,10500,11500,14200,CovidHub-hub-models,2025-02-19,CovidHub baseline model
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CovidHub-baseline,5693.972578975791,9007.48564485645,10503,11997.095603456037,15332.15255827557,5700,9000,10500,12000,15300,CovidHub-hub-models,2025-02-19,CovidHub baseline model
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CovidHub-baseline,4550.704702547025,8538.076433264332,10503,12469.387453874539,16452.057470074702,4600,8500,10500,12500,16500,CovidHub-hub-models,2025-02-19,CovidHub baseline model
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CovidHub-ensemble,6558.15,8818,10094,11517,15967,6600,8800,10100,11500,16000,CovidHub,2025-02-19,Ensemble model using CovidHub submissions
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CovidHub-ensemble,4560.55957158653,6945.42,8639.1806640625,11262.2506024544,16705.5,4600,6900,8600,11300,16700,CovidHub,2025-02-19,Ensemble model using CovidHub submissions
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CovidHub-ensemble,3801.28634596048,5923.11,7469.33333333333,11185,16559,3800,5900,7500,11200,16600,CovidHub,2025-02-19,Ensemble model using CovidHub submissions
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,JHU_CSSE-CSSE_Ensemble,2221.2833333333333,6280.583333333333,9448.75,13010.416666666666,20716.091666666667,2200,6300,9400,13000,20700,The Center for Systems Science and Engineering at Johns Hopkins University,2025-02-19,CSSE Ensemble
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,JHU_CSSE-CSSE_Ensemble,1590.1166666666666,4809.5,8407.166666666666,12691.166666666668,23072.5,1600,4800,8400,12700,23100,The Center for Systems Science and Engineering at Johns Hopkins University,2025-02-19,CSSE Ensemble
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,JHU_CSSE-CSSE_Ensemble,916.4499999999999,3526.1666666666665,7469.333333333333,12449.666666666668,25586.899999999998,920,3500,7500,12400,25600,The Center for Systems Science and Engineering at Johns Hopkins University,2025-02-19,CSSE Ensemble
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,MOBS-GLEAM_COVID,7406,9764,11172,12696,15967,7400,9800,11200,12700,16000,MOBS Lab at Northeastern University,2025-02-19,GLEAM COVID-19 Forecasting Model
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,MOBS-GLEAM_COVID,6766,8943,10234,11644,14648,6800,8900,10200,11600,14600,MOBS Lab at Northeastern University,2025-02-19,GLEAM COVID-19 Forecasting Model
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,MOBS-GLEAM_COVID,6130,8119,9300,10592,13337,6100,8100,9300,10600,13300,MOBS Lab at Northeastern University,2025-02-19,GLEAM COVID-19 Forecasting Model
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,Metaculus-cp,3000,5969.049630255246,7529.176521967148,9723.723420603197,27139.487020489436,3000,6000,7500,9700,27100,Metaculus,2025-02-19,Metaculus Community Prediction
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,NEU_ISI-AdaptiveEnsemble,7594,9765,10540,11082,16628,7600,9800,10500,11100,16600,MOBS Lab at Northeastern University and ISI Foundation,2025-02-19,Adaptive Ensemble
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,NEU_ISI-AdaptiveEnsemble,8146,9723,10350,10965,17194,8100,9700,10400,11000,17200,MOBS Lab at Northeastern University and ISI Foundation,2025-02-19,Adaptive Ensemble
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,NEU_ISI-AdaptiveEnsemble,5941,9861,10608,11185,17717,5900,9900,10600,11200,17700,MOBS Lab at Northeastern University and ISI Foundation,2025-02-19,Adaptive Ensemble
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,OHT_JHU-nbxd,6558.15,8173.73,9119.98,10136.65,12275.81,6600,8200,9100,10100,12300,One Health Trust and Johns Hopkins University,2025-02-19,NBEATS exogenous covariate decoder
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,OHT_JHU-nbxd,5179.63,6940.84,8009.58,9182.91,11721.32,5200,6900,8000,9200,11700,One Health Trust and Johns Hopkins University,2025-02-19,NBEATS exogenous covariate decoder
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,OHT_JHU-nbxd,4097.53,5923.11,7072.28,8361.56,11227.27,4100,5900,7100,8400,11200,One Health Trust and Johns Hopkins University,2025-02-19,NBEATS exogenous covariate decoder
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,UM-DeepOutbreak,620.5888671875,7316.125686035157,9863.6845703125,11962.442673339843,18657.9794921875,620,7300,9900,12000,18700,"University of Michigan, Computer Science and Engineering",2025-02-19,DeepOutbreak
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,UM-DeepOutbreak,0,3942.3136186523425,8490.361328125,12280.086771972658,20179.8623046875,0,3900,8500,12300,20200,"University of Michigan, Computer Science and Engineering",2025-02-19,DeepOutbreak
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,UM-DeepOutbreak,0,1219.6185449218765,7198.697265624998,12879.031845703124,22682.7021484375,0,1200,7200,12900,22700,"University of Michigan, Computer Science and Engineering",2025-02-19,DeepOutbreak
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,UMass-ar6_pooled,7676.888604395248,9377.14712622353,10320.243003016993,11267.510881141068,13234.295378577875,7700,9400,10300,11300,13200,UMass-Amherst,2025-02-19,AR(6) model with pooling
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,UMass-ar6_pooled,6753.554973788818,8909.304363173087,10200.018809501938,11508.501204908816,14286.777864013653,6800,8900,10200,11500,14300,UMass-Amherst,2025-02-19,AR(6) model with pooling
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,UMass-ar6_pooled,6229.490706720778,8680.669459556528,10251.784212064824,11932.107309372988,15543.499417325305,6200,8700,10300,11900,15500,UMass-Amherst,2025-02-19,AR(6) model with pooling
United States,US,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,UMass-gbqr,2555.8614753953434,7203.704671157668,8686.936584234623,9724.714536601268,14684.031979332123,2600,7200,8700,9700,14700,UMass-Amherst,2025-02-19,gradient boosting quantile regression
United States,US,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,UMass-gbqr,1753.6976710193107,6138.0795190193485,7897.762492766045,9339.49910554233,14763.326314663154,1800,6100,7900,9300,14800,UMass-Amherst,2025-02-19,gradient boosting quantile regression
United States,US,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,UMass-gbqr,1472.9645756710127,4834.1876201201,7255.271801376333,9118.696816554027,14801.40504920725,1500,4800,7300,9100,14800,UMass-Amherst,2025-02-19,gradient boosting quantile regression
Alabama,AL,0,wk inc covid hosp,hosp,2025-02-22,2025-02-22,CEPH-Rtrend_covid,151,187,210,235,285,150,190,210,240,280,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
Alabama,AL,1,wk inc covid hosp,hosp,2025-02-22,2025-03-01,CEPH-Rtrend_covid,107,156,192,232,322,110,160,190,230,320,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
Alabama,AL,2,wk inc covid hosp,hosp,2025-02-22,2025-03-08,CEPH-Rtrend_covid,73,125,164,213,330,70,120,160,210,330,CEPH Lab at Indiana University,2025-02-19,Rtrend COVID
